Date,Price,Open,High,Low,Vol.,Change %
3/10/2014,45.0,45.0,45.0,44.0,17.14K,0.00%
3/11/2014,44.0,44.0,45.0,44.0,85.63K,-2.22%
3/12/2014,44.7,44.9,44.9,44.0,143.65K,1.59%
3/13/2014,44.0,44.5,44.5,44.0,20.86K,-1.57%
3/14/2014,44.5,44.5,44.5,43.4,24.25K,1.14%
3/17/2014,44.0,44.0,44.9,44.0,28.35K,-1.12%
3/18/2014,44.0,44.0,44.8,43.5,2.60K,0.00%
3/19/2014,44.0,44.0,44.4,44.0,43.17K,0.00%
3/20/2014,44.0,44.4,44.4,44.0,15.99K,0.00%
3/21/2014,44.6,44.0,44.7,44.0,5.62K,1.36%
3/24/2014,44.1,44.0,44.8,44.0,1.26K,-1.12%
3/25/2014,44.5,44.1,44.9,44.1,29.35K,0.91%
3/26/2014,44.5,44.9,44.9,44.5,1.80K,0.00%
3/27/2014,47.4,44.9,47.4,44.5,78.36K,6.52%
3/28/2014,46.9,47.0,47.0,45.1,4.32K,-1.05%
3/31/2014,46.1,46.5,46.5,46.1,0.23K,-1.71%
4/1/2014,46.0,46.0,46.0,45.0,3.92K,-0.22%
4/2/2014,47.0,46.0,47.0,45.0,42.18K,2.17%
4/3/2014,47.8,47.0,47.8,45.6,47.58K,1.70%
4/4/2014,49.5,47.8,49.9,47.0,41.42K,3.56%
4/7/2014,49.2,49.1,49.8,46.1,5.65K,-0.61%
4/8/2014,48.9,48.1,49.6,48.0,9.93K,-0.61%
4/9/2014,46.4,48.8,49.0,46.1,15.66K,-5.11%
4/10/2014,47.5,47.5,48.5,46.2,76.55K,2.37%
4/11/2014,48.0,46.7,48.0,46.1,16.40K,1.05%
4/16/2014,47.4,46.0,47.4,41.5,6.46K,-1.25%
4/17/2014,47.0,47.5,47.5,43.9,2.20K,-0.84%
4/21/2014,45.6,44.0,46.5,43.5,4.47K,-2.98%
4/22/2014,45.6,45.6,45.6,45.6,,0.00%
4/23/2014,47.0,45.4,47.0,43.2,35.65K,3.07%
4/24/2014,49.0,46.5,49.0,45.0,25.00K,4.26%
4/25/2014,48.5,48.5,49.0,47.0,9.35K,-1.02%
4/28/2014,48.2,48.2,48.2,48.2,,-0.62%
4/29/2014,48.9,47.1,49.0,47.0,82.68K,1.45%
